Wavelength	PL390-MAO-Cr-Mau8
nm	Counts
541.782	1022
541.909	1024
542.035	1024
542.161	1027
542.287	1024
542.413	1025
542.539	1024
542.665	1024
542.792	1025
542.918	1026
543.044	1029
543.17	1023
543.296	1028
543.422	1027
543.548	1026
543.674	1026
543.801	1025
543.927	1024
544.053	1024
544.179	1025
544.305	1021
544.431	1021
544.557	1027
544.683	1021
544.809	1021
544.935	1031
545.061	1020
545.187	1022
545.313	1028
545.439	1023
545.565	1024
545.691	1026
545.817	1027
545.943	1024
546.069	1024
546.195	1024
546.321	1031
546.447	1026
546.573	1031
546.699	1029
546.825	1018
546.951	1019
547.077	1035
547.203	1027
547.329	1023
547.454	1023
547.58	1018
547.706	1024
547.832	1021
547.958	1027
548.084	1027
548.21	1020
548.336	1033
548.462	1021
548.587	1025
548.713	1027
548.839	1024
548.965	1018
549.091	1014
549.217	1030
549.342	1025
549.468	1020
549.594	1022
549.72	1021
549.846	1027
549.971	1027
550.097	1022
550.223	1023
550.349	1021
550.474	1028
550.6	1030
550.726	1025
550.852	1018
550.977	1023
551.103	1023
551.229	1022
551.355	1020
551.48	1025
551.606	1031
551.732	1023
551.857	1024
551.983	1016
552.109	1020
552.234	1022
552.36	1021
552.486	1028
552.611	1021
552.737	1022
552.863	1018
552.988	1024
553.114	1023
553.24	1021
553.365	1023
553.491	1025
553.616	1021
553.742	1031
553.868	1023
553.993	1027
554.119	1028
554.244	1022
554.37	1033
554.495	1027
554.621	1019
554.746	1022
554.872	1018
554.998	1030
555.123	1027
555.249	1024
555.374	1024
555.5	1026
555.625	1025
555.751	1018
555.876	1024
556.002	1024
556.127	1012
556.252	1025
556.378	1029
556.503	1024
556.629	1022
556.754	1025
556.88	1029
557.005	1025
557.131	1027
557.256	1019
557.381	1027
557.507	1027
557.632	1033
557.758	1013
557.883	1024
558.008	1028
558.134	1020
558.259	1021
558.384	1020
558.51	1026
558.635	1025
558.76	1029
558.886	1024
559.011	1028
559.136	1017
559.262	1023
559.387	1016
559.512	1018
559.638	1028
559.763	1027
559.888	1021
560.013	1019
560.139	1018
560.264	1019
560.389	1035
560.514	1024
560.64	1023
560.765	1026
560.89	1017
561.015	1032
561.141	1019
561.266	1021
561.391	1032
561.516	1028
561.641	1016
561.767	1022
561.892	1025
562.017	1022
562.142	1016
562.267	1026
562.392	1022
562.518	1021
562.643	1021
562.768	1023
562.893	1024
563.018	1027
563.143	1027
563.268	1029
563.393	1031
563.518	1024
563.644	1025
563.769	1024
563.894	1020
564.019	1029
564.144	1028
564.269	1026
564.394	1021
564.519	1032
564.644	1020
564.769	1028
564.894	1020
565.019	1024
565.144	1028
565.269	1024
565.394	1030
565.519	1018
565.644	1024
565.769	1016
565.894	1034
566.019	1019
566.144	1029
566.269	1028
566.394	1030
566.519	1031
566.644	1042
566.769	1024
566.893	1025
567.018	1022
567.143	1028
567.268	1021
567.393	1021
567.518	1025
567.643	1024
567.768	1026
567.893	1031
568.017	1024
568.142	1029
568.267	1016
568.392	1026
568.517	1026
568.642	1024
568.766	1027
568.891	1022
569.016	1024
569.141	1021
569.266	1031
569.39	1019
569.515	1022
569.64	1024
569.765	1029
569.889	1020
570.014	1022
570.139	1019
570.264	1022
570.388	1028
570.513	1020
570.638	1023
570.762	1027
570.887	1028
571.012	1030
571.137	1024
571.261	1024
571.386	1028
571.511	1027
571.635	1018
571.76	1023
571.885	1018
572.009	1024
572.134	1022
572.258	1016
572.383	1023
572.508	1021
572.632	1026
572.757	1024
572.881	1025
573.006	1024
573.131	1031
573.255	1024
573.38	1019
573.504	1031
573.629	1018
573.753	1026
573.878	1024
574.003	1017
574.127	1029
574.252	1027
574.376	1026
574.501	1024
574.625	1026
574.75	1022
574.874	1026
574.999	1024
575.123	1024
575.248	1023
575.372	1022
575.496	1027
575.621	1024
575.745	1024
575.87	1023
575.994	1024
576.119	1024
576.243	1027
576.367	1026
576.492	1026
576.616	1029
576.741	1028
576.865	1026
576.989	1019
577.114	1025
577.238	1025
577.362	1026
577.487	1028
577.611	1024
577.735	1020
577.86	1025
577.984	1018
578.108	1022
578.233	1025
578.357	1027
578.481	1027
578.606	1021
578.73	1021
578.854	1020
578.978	1025
578.977	1018
579.106	1023
579.234	1021
579.362	1023
579.491	1024
579.619	1021
579.747	1030
579.875	1013
580.004	1025
580.132	1026
580.26	1020
580.388	1026
580.517	1018
